"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","28.03.2015 16:00 - 28.03.2015 17:00 (UTC)","218","n/e","n/e","2319","10","269","n/e","n/e","n/e","","2632","4342","513","n/e","46878","n/e","n/e","612","277","n/e","4947"
"France (FR)","28.03.2015 17:00 - 28.03.2015 18:00 (UTC)","218","n/e","n/e","2368","11","269","n/e","n/e","n/e","","326","5053","1262","n/e","46830","n/e","n/e","163","274","n/e","5036"
"France (FR)","28.03.2015 18:00 - 28.03.2015 19:00 (UTC)","218","n/e","n/e","2363","10","268","n/e","n/e","n/e","1350","","5710","2089","n/e","47157","n/e","n/e","32","271","n/e","5232"
"France (FR)","28.03.2015 19:00 - 28.03.2015 20:00 (UTC)","218","n/e","n/e","2377","10","268","n/e","n/e","n/e","1262","","5512","2127","n/e","47140","n/e","n/e","0","275","n/e","5643"
"France (FR)","28.03.2015 20:00 - 28.03.2015 21:00 (UTC)","217","n/e","n/e","2322","10","267","n/e","n/e","n/e","240","","5210","966","n/e","46874","n/e","n/e","0","273","n/e","6039"
"France (FR)","28.03.2015 21:00 - 28.03.2015 22:00 (UTC)","218","n/e","n/e","2313","10","268","n/e","n/e","n/e","317","","5189","1110","n/e","46998","n/e","n/e","0","274","n/e","6055"
"France (FR)","28.03.2015 22:00 - 28.03.2015 23:00 (UTC)","218","n/e","n/e","2344","10","268","n/e","n/e","n/e","345","","5028","1038","n/e","47480","n/e","n/e","0","277","n/e","5941"
"France (FR)","28.03.2015 23:00 - 29.03.2015 00:00 (UTC)","217","n/e","n/e","2169","10","273","n/e","n/e","n/e","","1327","4591","749","n/e","46781","n/e","n/e","0","268","n/e","5846"
"France (FR)","29.03.2015 00:00 - 29.03.2015 01:00 (UTC)","218","n/e","n/e","2159","10","273","n/e","n/e","n/e","","2341","4278","495","n/e","45675","n/e","n/e","0","275","n/e","5821"
"France (FR)","29.03.2015 01:00 - 29.03.2015 02:00 (UTC)","218","n/e","n/e","2165","10","273","n/e","n/e","n/e","","2488","4116","435","n/e","44772","n/e","n/e","0","277","n/e","5711"
"France (FR)","29.03.2015 02:00 - 29.03.2015 03:00 (UTC)","218","n/e","n/e","2168","10","272","n/e","n/e","n/e","","2555","3760","200","n/e","42338","n/e","n/e","0","275","n/e","5624"
"France (FR)","29.03.2015 03:00 - 29.03.2015 04:00 (UTC)","218","n/e","n/e","2212","10","273","n/e","n/e","n/e","","2885","3620","169","n/e","40492","n/e","n/e","0","270","n/e","5603"
"France (FR)","29.03.2015 04:00 - 29.03.2015 05:00 (UTC)","216","n/e","n/e","2217","10","273","n/e","n/e","n/e","","2928","3737","150","n/e","40526","n/e","n/e","0","273","n/e","5663"
