"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2022 12:30 - 01.01.2022 13:00 (UTC)","n/e","n/e","n/e","377","215","0","n/e","50","n/e","28","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2268"
"Ireland (IE)","01.01.2022 13:00 - 01.01.2022 13:30 (UTC)","n/e","n/e","n/e","349","209","0","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2422"
"Ireland (IE)","01.01.2022 13:30 - 01.01.2022 14:00 (UTC)","n/e","n/e","n/e","365","210","0","n/e","46","n/e","23","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2552"
"Ireland (IE)","01.01.2022 14:00 - 01.01.2022 14:30 (UTC)","n/e","n/e","n/e","352","208","0","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2500"
"Ireland (IE)","01.01.2022 14:30 - 01.01.2022 15:00 (UTC)","n/e","n/e","n/e","351","207","0","n/e","46","n/e","20","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2488"
"Ireland (IE)","01.01.2022 15:00 - 01.01.2022 15:30 (UTC)","n/e","n/e","n/e","361","211","0","n/e","46","n/e","23","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2494"
"Ireland (IE)","01.01.2022 15:30 - 01.01.2022 16:00 (UTC)","n/e","n/e","n/e","424","215","0","n/e","54","n/e","68","0","157","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2480"
"Ireland (IE)","01.01.2022 16:00 - 01.01.2022 16:30 (UTC)","n/e","n/e","n/e","349","208","0","n/e","60","n/e","20","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2606"
"Ireland (IE)","01.01.2022 16:30 - 01.01.2022 17:00 (UTC)","n/e","n/e","n/e","413","236","0","n/e","76","n/e","99","0","156","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2599"
"Ireland (IE)","01.01.2022 17:00 - 01.01.2022 17:30 (UTC)","n/e","n/e","n/e","544","257","0","n/e","96","n/e","208","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2557"
"Ireland (IE)","01.01.2022 17:30 - 01.01.2022 18:00 (UTC)","n/e","n/e","n/e","591","281","0","n/e","100","n/e","173","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2423"
"Ireland (IE)","01.01.2022 18:00 - 01.01.2022 18:30 (UTC)","n/e","n/e","n/e","586","292","0","n/e","101","n/e","190","0","158","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2327"
"Ireland (IE)","01.01.2022 18:30 - 01.01.2022 19:00 (UTC)","n/e","n/e","n/e","498","275","0","n/e","97","n/e","135","0","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2307"
