"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2020 00:00 - 01.01.2020 00:30 (UTC)","n/e","n/e","n/e","811","0","444","n/e","198","n/e","14","0","153","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","319"
"Ireland (IE)","01.01.2020 00:30 - 01.01.2020 01:00 (UTC)","n/e","n/e","n/e","816","0","476","n/e","198","n/e","0","74","154","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","314"
"Ireland (IE)","01.01.2020 01:00 - 01.01.2020 01:30 (UTC)","n/e","n/e","n/e","723","0","479","n/e","198","n/e","0","74","150","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","320"
"Ireland (IE)","01.01.2020 01:30 - 01.01.2020 02:00 (UTC)","n/e","n/e","n/e","585","0","472","n/e","197","n/e","0","74","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","332"
"Ireland (IE)","01.01.2020 02:00 - 01.01.2020 02:30 (UTC)","n/e","n/e","n/e","588","0","476","n/e","217","n/e","0","149","150","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","358"
"Ireland (IE)","01.01.2020 02:30 - 01.01.2020 03:00 (UTC)","n/e","n/e","n/e","582","0","457","n/e","233","n/e","0","226","148","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","400"
"Ireland (IE)","01.01.2020 03:00 - 01.01.2020 03:30 (UTC)","n/e","n/e","n/e","571","0","346","n/e","242","n/e","0","224","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","459"
"Ireland (IE)","01.01.2020 03:30 - 01.01.2020 04:00 (UTC)","n/e","n/e","n/e","595","0","237","n/e","244","n/e","0","222","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","524"
"Ireland (IE)","01.01.2020 04:00 - 01.01.2020 04:30 (UTC)","n/e","n/e","n/e","539","0","218","n/e","247","n/e","0","222","150","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","593"
"Ireland (IE)","01.01.2020 04:30 - 01.01.2020 05:00 (UTC)","n/e","n/e","n/e","536","0","217","n/e","244","n/e","0","222","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","626"
"Ireland (IE)","01.01.2020 05:00 - 01.01.2020 05:30 (UTC)","n/e","n/e","n/e","430","0","226","n/e","267","n/e","0","220","150","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","593"
"Ireland (IE)","01.01.2020 05:30 - 01.01.2020 06:00 (UTC)","n/e","n/e","n/e","497","0","217","n/e","259","n/e","0","219","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","556"
"Ireland (IE)","01.01.2020 06:00 - 01.01.2020 06:30 (UTC)","n/e","n/e","n/e","512","0","232","n/e","246","n/e","0","217","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","548"
"Ireland (IE)","01.01.2020 06:30 - 01.01.2020 07:00 (UTC)","n/e","n/e","n/e","521","0","355","n/e","246","n/e","0","216","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","478"
"Ireland (IE)","01.01.2020 07:00 - 01.01.2020 07:30 (UTC)","n/e","n/e","n/e","483","0","323","n/e","243","n/e","0","143","147","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","512"
"Ireland (IE)","01.01.2020 07:30 - 01.01.2020 08:00 (UTC)","n/e","n/e","n/e","495","0","331","n/e","244","n/e","0","72","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","509"
"Ireland (IE)","01.01.2020 08:00 - 01.01.2020 08:30 (UTC)","n/e","n/e","n/e","388","0","329","n/e","242","n/e","15","0","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","612"
"Ireland (IE)","01.01.2020 08:30 - 01.01.2020 09:00 (UTC)","n/e","n/e","n/e","378","0","322","n/e","259","n/e","15","0","147","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","593"
"Ireland (IE)","01.01.2020 09:00 - 01.01.2020 09:30 (UTC)","n/e","n/e","n/e","394","0","216","n/e","271","n/e","15","0","150","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","685"
"Ireland (IE)","01.01.2020 09:30 - 01.01.2020 10:00 (UTC)","n/e","n/e","n/e","525","0","215","n/e","266","n/e","23","0","155","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","724"
"Ireland (IE)","01.01.2020 10:00 - 01.01.2020 10:30 (UTC)","n/e","n/e","n/e","598","0","300","n/e","272","n/e","18","0","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","801"
"Ireland (IE)","01.01.2020 10:30 - 01.01.2020 11:00 (UTC)","n/e","n/e","n/e","596","0","291","n/e","272","n/e","17","0","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","890"
"Ireland (IE)","01.01.2020 11:00 - 01.01.2020 11:30 (UTC)","n/e","n/e","n/e","596","0","415","n/e","287","n/e","18","0","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","936"
