"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","21.12.2022 17:00 - 21.12.2022 18:00 (UTC)","359","n/e","n/e","1039","0","n/e","n/e","n/e","n/e","1610","62","2048","931","n/e","n/e","24","n/e","1","n/e","14","2380"
"Portugal (PT)","21.12.2022 18:00 - 21.12.2022 19:00 (UTC)","355","n/e","n/e","1044","0","n/e","n/e","n/e","n/e","1996","61","2070","948","n/e","n/e","23","n/e","0","n/e","12","2236"
"Portugal (PT)","21.12.2022 19:00 - 21.12.2022 20:00 (UTC)","355","n/e","n/e","1051","0","n/e","n/e","n/e","n/e","2127","61","1973","977","n/e","n/e","24","n/e","0","n/e","9","2119"
"Portugal (PT)","21.12.2022 20:00 - 21.12.2022 21:00 (UTC)","356","n/e","n/e","937","0","n/e","n/e","n/e","n/e","1806","61","2060","982","n/e","n/e","23","n/e","0","n/e","11","2093"
"Portugal (PT)","21.12.2022 21:00 - 21.12.2022 22:00 (UTC)","351","n/e","n/e","867","0","n/e","n/e","n/e","n/e","1428","228","1650","973","n/e","n/e","24","n/e","0","n/e","12","2006"
"Portugal (PT)","21.12.2022 22:00 - 21.12.2022 23:00 (UTC)","353","n/e","n/e","690","0","n/e","n/e","n/e","n/e","755","488","1629","972","n/e","n/e","23","n/e","0","n/e","12","2024"
"Portugal (PT)","21.12.2022 23:00 - 22.12.2022 00:00 (UTC)","353","n/e","n/e","444","0","n/e","n/e","n/e","n/e","712","1148","1733","863","n/e","n/e","23","n/e","0","n/e","13","2062"
"Portugal (PT)","22.12.2022 00:00 - 22.12.2022 01:00 (UTC)","358","n/e","n/e","406","0","n/e","n/e","n/e","n/e","725","994","1692","964","n/e","n/e","21","n/e","0","n/e","10","2078"
"Portugal (PT)","22.12.2022 01:00 - 22.12.2022 02:00 (UTC)","355","n/e","n/e","406","0","n/e","n/e","n/e","n/e","741","1337","1576","1000","n/e","n/e","19","n/e","0","n/e","16","2000"
"Portugal (PT)","22.12.2022 02:00 - 22.12.2022 03:00 (UTC)","357","n/e","n/e","406","0","n/e","n/e","n/e","n/e","722","1193","1611","930","n/e","n/e","22","n/e","0","n/e","24","1792"
