"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","01.01.2018 00:00 - 01.01.2018 01:00 (UTC)","151","n/e","n/e","2071","465","0","n/e","n/e","n/e","","25","651","55","n/e","n/e","3078","n/e","0","47","n/e","15"
"BZN|IT-North","01.01.2018 01:00 - 01.01.2018 02:00 (UTC)","112","n/e","n/e","1349","342","0","n/e","n/e","n/e","","20","547","39","n/e","n/e","2267","n/e","0","34","n/e","9"
"BZN|IT-North","01.01.2018 02:00 - 01.01.2018 03:00 (UTC)","152","n/e","n/e","1566","438","0","n/e","n/e","n/e","","287","607","54","n/e","n/e","2656","n/e","0","48","n/e","8"
"BZN|IT-North","01.01.2018 03:00 - 01.01.2018 04:00 (UTC)","153","n/e","n/e","1633","419","0","n/e","n/e","n/e","","730","615","54","n/e","n/e","2747","n/e","0","48","n/e","9"
"BZN|IT-North","01.01.2018 04:00 - 01.01.2018 05:00 (UTC)","153","n/e","n/e","1993","431","0","n/e","n/e","n/e","","163","630","54","n/e","n/e","2811","n/e","0","49","n/e","12"
"BZN|IT-North","01.01.2018 05:00 - 01.01.2018 06:00 (UTC)","152","n/e","n/e","2312","457","0","n/e","n/e","n/e","","42","668","56","n/e","n/e","2922","n/e","0","47","n/e","11"
"BZN|IT-North","01.01.2018 06:00 - 01.01.2018 07:00 (UTC)","144","n/e","n/e","2293","465","0","n/e","n/e","n/e","","27","709","94","n/e","n/e","3164","n/e","0","49","n/e","13"
"BZN|IT-North","01.01.2018 07:00 - 01.01.2018 08:00 (UTC)","151","n/e","n/e","2206","466","0","n/e","n/e","n/e","","24","919","81","n/e","n/e","2829","n/e","9","44","n/e","14"
"BZN|IT-North","01.01.2018 08:00 - 01.01.2018 09:00 (UTC)","148","n/e","n/e","2563","472","0","n/e","n/e","n/e","","23","1017","57","n/e","n/e","3159","n/e","63","45","n/e","12"
"BZN|IT-North","01.01.2018 09:00 - 01.01.2018 10:00 (UTC)","146","n/e","n/e","2899","509","0","n/e","n/e","n/e","37","","873","236","n/e","n/e","4156","n/e","207","45","n/e","8"
"BZN|IT-North","01.01.2018 10:00 - 01.01.2018 11:00 (UTC)","149","n/e","n/e","3259","547","0","n/e","n/e","n/e","338","","898","269","n/e","n/e","4248","n/e","327","46","n/e","7"
"BZN|IT-North","01.01.2018 11:00 - 01.01.2018 12:00 (UTC)","151","n/e","n/e","3282","569","0","n/e","n/e","n/e","541","","860","261","n/e","n/e","4428","n/e","479","46","n/e","7"
"BZN|IT-North","01.01.2018 12:00 - 01.01.2018 13:00 (UTC)","151","n/e","n/e","2959","594","0","n/e","n/e","n/e","486","","829","255","n/e","n/e","4168","n/e","486","45","n/e","8"
