"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","195","n/e","14","4383","267","15","n/e","n/e","n/e","","55","1110","97","n/e","n/e","833","n/e","0","33","n/e","2"
"BZN|IT-North","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","203","n/e","14","3854","238","5","n/e","n/e","n/e","","58","1063","54","n/e","n/e","870","n/e","0","32","n/e","22"
"BZN|IT-North","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","195","n/e","14","3534","161","15","n/e","n/e","n/e","","507","1057","31","n/e","n/e","819","n/e","0","32","n/e","22"
"BZN|IT-North","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","189","n/e","14","3082","154","15","n/e","n/e","n/e","","493","1089","38","n/e","n/e","822","n/e","0","31","n/e","22"
"BZN|IT-North","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","181","n/e","15","3032","166","5","n/e","n/e","n/e","","47","1053","37","n/e","n/e","907","n/e","0","34","n/e","22"
"BZN|IT-North","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","177","n/e","15","3236","176","5","n/e","n/e","n/e","","47","1159","37","n/e","n/e","855","n/e","0","33","n/e","21"
"BZN|IT-North","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","175","n/e","14","3177","175","15","n/e","n/e","n/e","","495","1309","64","n/e","n/e","801","n/e","0","32","n/e","21"
"BZN|IT-North","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","178","n/e","15","2672","167","5","n/e","n/e","n/e","","418","1425","97","n/e","n/e","855","n/e","37","32","n/e","2"
"BZN|IT-North","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","178","n/e","15","2412","164","5","n/e","n/e","n/e","","410","1291","77","n/e","n/e","799","n/e","337","31","n/e","13"
"BZN|IT-North","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","180","n/e","15","2611","174","5","n/e","n/e","n/e","39","","1200","52","n/e","n/e","794","n/e","756","30","n/e","21"
"BZN|IT-North","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","184","n/e","15","3307","166","5","n/e","n/e","n/e","","46","1152","56","n/e","n/e","808","n/e","960","30","n/e","21"
