"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","01.01.2020 00:00 - 01.01.2020 01:00 (UTC)","170","n/e","12","3932","25","14","n/e","n/e","n/e","","18","1989","284","n/e","n/e","1018","n/e","0","37","n/e","4"
"BZN|IT-North","01.01.2020 01:00 - 01.01.2020 02:00 (UTC)","170","n/e","13","4276","25","14","n/e","n/e","n/e","","136","1863","335","n/e","n/e","947","n/e","1","36","n/e","4"
"BZN|IT-North","01.01.2020 02:00 - 01.01.2020 03:00 (UTC)","172","n/e","13","3819","26","14","n/e","n/e","n/e","","156","1826","266","n/e","n/e","854","n/e","0","37","n/e","5"
"BZN|IT-North","01.01.2020 03:00 - 01.01.2020 04:00 (UTC)","169","n/e","13","3527","34","14","n/e","n/e","n/e","","273","1808","262","n/e","n/e","887","n/e","0","38","n/e","5"
"BZN|IT-North","01.01.2020 04:00 - 01.01.2020 05:00 (UTC)","169","n/e","13","3819","43","14","n/e","n/e","n/e","","274","1782","201","n/e","n/e","939","n/e","0","38","n/e","2"
"BZN|IT-North","01.01.2020 05:00 - 01.01.2020 06:00 (UTC)","169","n/e","13","3824","49","14","n/e","n/e","n/e","","168","1844","212","n/e","n/e","954","n/e","0","36","n/e","1"
"BZN|IT-North","01.01.2020 06:00 - 01.01.2020 07:00 (UTC)","168","n/e","12","3415","51","14","n/e","n/e","n/e","98","","2124","237","n/e","n/e","997","n/e","0","36","n/e","1"
"BZN|IT-North","01.01.2020 07:00 - 01.01.2020 08:00 (UTC)","167","n/e","11","3809","51","14","n/e","n/e","n/e","","154","2327","281","n/e","n/e","986","n/e","128","34","n/e","1"
"BZN|IT-North","01.01.2020 08:00 - 01.01.2020 09:00 (UTC)","167","n/e","12","3577","51","14","n/e","n/e","n/e","","241","2343","197","n/e","n/e","1065","n/e","667","33","n/e","1"
"BZN|IT-North","01.01.2020 09:00 - 01.01.2020 10:00 (UTC)","167","n/e","11","3570","49","14","n/e","n/e","n/e","","285","2359","206","n/e","n/e","1262","n/e","1488","36","n/e","1"
"BZN|IT-North","01.01.2020 10:00 - 01.01.2020 11:00 (UTC)","166","n/e","11","3710","48","13","n/e","n/e","n/e","","285","2231","352","n/e","n/e","1318","n/e","2265","32","n/e","1"
"BZN|IT-North","01.01.2020 11:00 - 01.01.2020 12:00 (UTC)","156","n/e","11","4219","48","14","n/e","n/e","n/e","","130","1896","294","n/e","n/e","1338","n/e","2458","35","n/e","1"
"BZN|IT-North","01.01.2020 12:00 - 01.01.2020 13:00 (UTC)","157","n/e","12","4339","48","14","n/e","n/e","n/e","","172","1931","312","n/e","n/e","1306","n/e","2166","37","n/e","1"
"BZN|IT-North","01.01.2020 13:00 - 01.01.2020 14:00 (UTC)","161","n/e","12","4377","48","13","n/e","n/e","n/e","","134","1944","354","n/e","n/e","1322","n/e","1299","34","n/e","1"
"BZN|IT-North","01.01.2020 14:00 - 01.01.2020 15:00 (UTC)","164","n/e","13","4400","48","13","n/e","n/e","n/e","","118","2132","530","n/e","n/e","1380","n/e","504","36","n/e","1"
"BZN|IT-North","01.01.2020 15:00 - 01.01.2020 16:00 (UTC)","165","n/e","13","4510","50","13","n/e","n/e","n/e","","81","2616","597","n/e","n/e","1384","n/e","52","38","n/e","1"
"BZN|IT-North","01.01.2020 16:00 - 01.01.2020 17:00 (UTC)","166","n/e","13","4602","51","13","n/e","n/e","n/e","174","","3335","897","n/e","n/e","1444","n/e","0","34","n/e","1"
"BZN|IT-North","01.01.2020 17:00 - 01.01.2020 18:00 (UTC)","164","n/e","13","4045","50","13","n/e","n/e","n/e","","58","3495","755","n/e","n/e","1334","n/e","0","34","n/e","1"
"BZN|IT-North","01.01.2020 18:00 - 01.01.2020 19:00 (UTC)","165","n/e","14","4278","49","13","n/e","n/e","n/e","168","","3565","552","n/e","n/e","1250","n/e","0","33","n/e","1"
"BZN|IT-North","01.01.2020 19:00 - 01.01.2020 20:00 (UTC)","165","n/e","14","4212","44","14","n/e","n/e","n/e","207","","3166","641","n/e","n/e","1158","n/e","0","36","n/e","1"
"BZN|IT-North","01.01.2020 20:00 - 01.01.2020 21:00 (UTC)","163","n/e","14","4199","37","14","n/e","n/e","n/e","173","","2652","478","n/e","n/e","969","n/e","0","35","n/e","1"
"BZN|IT-North","01.01.2020 21:00 - 01.01.2020 22:00 (UTC)","161","n/e","13","4261","31","14","n/e","n/e","n/e","81","","2434","353","n/e","n/e","973","n/e","0","31","n/e","1"
"BZN|IT-North","01.01.2020 22:00 - 01.01.2020 23:00 (UTC)","160","n/e","13","3978","25","14","n/e","n/e","n/e","25","","2121","310","n/e","n/e","917","n/e","0","31","n/e","3"
"BZN|IT-North","01.01.2020 23:00 - 02.01.2020 00:00 (UTC)","161","n/e","13","3383","25","14","n/e","n/e","n/e","","68","2055","277","n/e","n/e","1113","n/e","0","29","n/e","5"
"BZN|IT-North","02.01.2020 00:00 - 02.01.2020 01:00 (UTC)","161","n/e","13","3317","25","14","n/e","n/e","n/e","","123","1795","213","n/e","n/e","1158","n/e","0","25","n/e","6"
"BZN|IT-North","02.01.2020 01:00 - 02.01.2020 02:00 (UTC)","161","n/e","13","3485","25","14","n/e","n/e","n/e","","278","1730","208","n/e","n/e","1105","n/e","0","25","n/e","6"
"BZN|IT-North","02.01.2020 02:00 - 02.01.2020 03:00 (UTC)","161","n/e","12","3402","26","14","n/e","n/e","n/e","","374","1728","202","n/e","n/e","1110","n/e","0","26","n/e","6"
"BZN|IT-North","02.01.2020 03:00 - 02.01.2020 04:00 (UTC)","161","n/e","12","3521","34","14","n/e","n/e","n/e","","664","1681","175","n/e","n/e","1168","n/e","0","25","n/e","6"
"BZN|IT-North","02.01.2020 04:00 - 02.01.2020 05:00 (UTC)","164","n/e","13","3943","43","14","n/e","n/e","n/e","","1279","1603","180","n/e","n/e","1162","n/e","0","25","n/e","7"
"BZN|IT-North","02.01.2020 05:00 - 02.01.2020 06:00 (UTC)","169","n/e","11","4759","49","14","n/e","n/e","n/e","","1036","2254","206","n/e","n/e","1394","n/e","0","22","n/e","7"
"BZN|IT-North","02.01.2020 06:00 - 02.01.2020 07:00 (UTC)","168","n/e","11","4894","52","14","n/e","n/e","n/e","","129","3011","573","n/e","n/e","1591","n/e","0","23","n/e","5"
"BZN|IT-North","02.01.2020 07:00 - 02.01.2020 08:00 (UTC)","170","n/e","10","5572","52","13","n/e","n/e","n/e","100","","3485","529","n/e","n/e","1600","n/e","140","22","n/e","4"
"BZN|IT-North","02.01.2020 08:00 - 02.01.2020 09:00 (UTC)","166","n/e","10","5344","52","13","n/e","n/e","n/e","474","","3711","516","n/e","n/e","1653","n/e","698","23","n/e","2"
"BZN|IT-North","02.01.2020 09:00 - 02.01.2020 10:00 (UTC)","170","n/e","10","5105","50","13","n/e","n/e","n/e","144","","3351","334","n/e","n/e","1542","n/e","1560","21","n/e","1"
"BZN|IT-North","02.01.2020 10:00 - 02.01.2020 11:00 (UTC)","166","n/e","10","4941","50","14","n/e","n/e","n/e","145","","2770","318","n/e","n/e","1537","n/e","2247","23","n/e","1"
"BZN|IT-North","02.01.2020 11:00 - 02.01.2020 12:00 (UTC)","166","n/e","11","5413","49","13","n/e","n/e","n/e","54","","2196","303","n/e","n/e","1544","n/e","2391","25","n/e","1"
"BZN|IT-North","02.01.2020 12:00 - 02.01.2020 13:00 (UTC)","171","n/e","11","5239","49","13","n/e","n/e","n/e","54","","2080","287","n/e","n/e","1439","n/e","2108","25","n/e","1"
"BZN|IT-North","02.01.2020 13:00 - 02.01.2020 14:00 (UTC)","169","n/e","11","6087","49","13","n/e","n/e","n/e","54","","2223","387","n/e","n/e","1548","n/e","1302","25","n/e","1"
"BZN|IT-North","02.01.2020 14:00 - 02.01.2020 15:00 (UTC)","168","n/e","11","6237","51","13","n/e","n/e","n/e","56","","2934","666","n/e","n/e","1687","n/e","515","23","n/e","1"
"BZN|IT-North","02.01.2020 15:00 - 02.01.2020 16:00 (UTC)","166","n/e","10","6723","51","13","n/e","n/e","n/e","77","","3797","771","n/e","n/e","1721","n/e","43","21","n/e","3"
"BZN|IT-North","02.01.2020 16:00 - 02.01.2020 17:00 (UTC)","167","n/e","10","7222","51","13","n/e","n/e","n/e","202","","4809","914","n/e","n/e","1736","n/e","0","20","n/e","5"
"BZN|IT-North","02.01.2020 17:00 - 02.01.2020 18:00 (UTC)","166","n/e","10","6534","51","13","n/e","n/e","n/e","405","","4868","964","n/e","n/e","1684","n/e","0","20","n/e","6"
"BZN|IT-North","02.01.2020 18:00 - 02.01.2020 19:00 (UTC)","168","n/e","10","6829","49","13","n/e","n/e","n/e","146","","4612","788","n/e","n/e","1637","n/e","0","20","n/e","6"
"BZN|IT-North","02.01.2020 19:00 - 02.01.2020 20:00 (UTC)","169","n/e","10","6594","45","14","n/e","n/e","n/e","146","","3651","737","n/e","n/e","1587","n/e","0","18","n/e","6"
"BZN|IT-North","02.01.2020 20:00 - 02.01.2020 21:00 (UTC)","168","n/e","8","6437","37","14","n/e","n/e","n/e","145","","3057","653","n/e","n/e","1417","n/e","0","18","n/e","8"
